sample	amp_chr_1p	amp_chr_1q_MCL1	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q_TERC	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC_amp	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p_BCMA	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21p	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q_SP140	del_chr_3p	del_chr_3q_BCL6	del_chr_4p_NSD2	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q_MYC_del	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q	del_chr_14q_MAX	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21p	del_chr_21q	del_chr_22q_XBP1
SMM-055_pair	0	0	0.01	0.004	1	1	0.02	0.02	0.01	0.021	0	0.011	0	0	0.01	0.01	0.971	0.971	0	0	1	1	0.003	0.003	0.04	0.014	1	0	0	0	0	1	1	0.919	0.919	0	0	0	0	0	0.011	0.011	0.011	0.011	0	0	0	0	0	0	0	0	0.006	0	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0.057	0.032	0.032	0	0	0	0	0.026	0.026	0.014	0.014	0.279
SMM-056_pair	0.021	0.021	0	0	0	0	0	0	0.057	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0.031	0.041	0.041	0.067	0.067	0	0	0.061	0.061	0.079	0.079	0.045	0.045	0.04	0.04	0.018	0.018	0.037	0.037	0	0	0.167	0	0.034	0.006	0.006	0	0	0.049	0.049	0.028	0.026	0.009	0.009	0.044	0.044	0.028
SMM-057_pair	0	0.026	0	0	0.02	0.02	0.018	0.018	0.029	0.029	0	0	0	0	0	0	0.059	1	0	0	0	0	0	0	0	0	0.02	0	0	0	0.023	0.024	0.024	0	0	0	0.012	0	0	0	0	0	1	0	0.044	0.044	0	0	0	0	0	0	0.05	0.05	0.405	0.009	0.018	0.018	0	0	0	0	0.018	0.018	1	0.528	1	0.75	0	0.017	0.017	0.478	0	0	0	0.103	0.103	1	0	0	0	1
SMM-058_pair	0.13	1	1	0.141	1	1	0.502	0.143	1	1	1	0	1	1	0	1	1	1	0.12	0	1	1	1	0.209	0.115	0.063	1	0	0	0	0.1	1	1	1	1	0	0	0.978	0.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676	0	0	1	0	0	0	0	0.116	0	0	0	0	0	0	0	0.079	1	0.11	0	0	0	0	0	0.037	0.037	0	0	0.073
SMM-060_pair	0.027	1	0.714	0	0.999	0.999	0.008	0.008	1	1	0.026	0.026	0	0	0	0.015	0.996	0.996	0	0	0	0	0.018	0.018	0	0.013	1	0	0	0.062	0.062	0	0	1	1	0	0	1	1	0.045	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.006	0.006	1	0	0	0	0.01	0.01	0	0	0	0	0.02	0	0	0.001	0.001	0	0	0.049	0.049	0	0	0	0	0	0	0
SMM-062_pair	0	0.013	0.007	0.017	0.99	0.99	0.017	0.037	0	0.041	0.017	0.017	0.007	0.007	0	0	0.025	1	0	0	0	0	0.018	0.018	0	0	0.022	0	0	0.019	0.019	0	0	0	0	0	0	0	0	0	0.006	0.932	0.932	0	0	0	0	0	1	0	0.028	0	0	0	0	0	0.97	0.927	0	0	0.003	0.003	0.01	0.01	0	0	1	1	0	0.008	0.008	0	0	0.005	0.005	0.003	0.003	0.012	0.012	0	0	0
SMM-064_pair	0	0.087	0	0	0	0.104	0	0.949	0.352	0	0.027	0.027	0	0.067	0.014	0.024	0	0	0	0	0	0	0.453	0	0.211	0	0	0	0	0	0	0.077	0.077	0	0	0	0	0	0	0	0	0	0	0.123	0.001	0.001	0.597	0	0.885	0	0	0	0	0	0.094	0	0	0	0.161	0.444	0.358	0.615	0.186	0	0	0.226	0	0.297	0.244	1	1	1	0.997	0	0	1	1	0.764	0.764	0.945	0.945	1
SMM-067_pair	0.012	0.048	0	0	0	0.006	0	0	0	0	0.014	0	0.02	0.002	0.015	0	0	0.001	0	0	0	0.014	0.005	0.015	0	0.006	0.002	0.003	0.003	0	0.01	0	0	0.022	0.026	0	0.002	0	0	0.009	0	0	0	0.006	0	0.004	0.002	0	0	0.009	0.014	0.001	0	0.012	0	0	0	0.025	0.065	0	0	0.004	0	0.004	0	0	0.022	0.002	0	0	0	0.004	0	0.036	0.027	0	0	0.001	0	0.043	0.014	0
SMM-069_pair	0	1	0	0.192	0	0	0	0	0	0	0	0	0.257	0	0.044	0	0	0	0	0	0.074	0.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097	0.047	0	0	0.376	0.039	0.21	0.21	0	0.133	0.117	0.211	0.01	0	0.048	0.117	0.257	0.031	0.129	0	0.331	0	0.214	0.022	0.192	0.029	0.077	0	0.05	0.031	0.287	0.132	0.15	0.093	0.111	0.245	0.296	0.219	0.243	0.243	0.212	0.212	0	0	0.296	0.296	0.1
SMM-070_pair	0.006	0.031	0	0	0.004	0.001	0.009	0.005	0	0	0.014	0	0.001	0	0.015	0	0.015	0.005	0	0	0	0.014	0.008	0.014	0	0.003	0.001	0	0	0	0	0	0	0	0.002	0.021	0.013	0	0	0	0	0	0	0.009	0.001	0	0	0	0	0	0.016	0.001	0	0.012	0	0.001	0	0.002	0	0	0.002	0.004	0.001	0	0	0	0.022	0.002	0	0.004	0	0.014	0.004	0.033	0.017	0.005	0	0	0	0.02	0	0.002
SMM-071_pair	0.117	0.117	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0.009	0.01	0.01	0.079	0.079	0	0	0.037	0.064	0.064	0.092	0.092	0	0	0.036	0.036	0.021	0.021	0.055	0.055	0.074	0	0	0	0	0	0	0.017	0.017	0.016	0.016	0.041	0.041	0.007	0.007	0.031	0.031	0.124	0.006	0	0	0	0	0	0	0	0	0.147	0.05	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0
SMM-073_pair	0	1	0	0	0.009	0.889	0	0	0	0	0.024	0.024	0.985	0.985	0.024	0.983	0	1	0	0	1	0	0.445	0.019	0	0	0.98	0.032	0	0.025	0.025	0.931	0.768	0.075	0.075	0	0.096	0	0	0.063	0	0	0	0	0.013	0.013	0	0	0.015	0.015	0.004	0.004	0	0	0	0	0	0	0.03	0	0.028	0.028	0	0	0	0	1	0	0	0.103	0	0	0	0	0	0	0	0.761	0	0.033	0.033	0
SMM-074_pair	0.051	0.051	0	0	0.98	0.98	0.9	0.893	0.024	0.025	0.03	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0.033	0.969	0	0	0.041	0.041	0.961	0.961	1	1	0	0	0.038	0.038	0	0	0	0	0	0.039	0.039	0	0	0	0	0	0	0	0.016	0	0	0.066	0.066	0	0	0	0	0	0	0.074	0.113	0.067	0	0	0	0.695	0	0	0	0	0	0	0.031	0.033	0	0	0.123
SMM-075_pair	0	0.465	0.009	0	0	0	0.038	0.038	1	1	0.136	0	0.087	0.087	0.017	0.017	0.975	0.975	0	0	0	0.977	0	0	0	0.041	1	0	0	0	0	0.028	0.028	0.857	0.857	0	0	0.975	0.975	0	0.055	0.988	0.988	0	0	0.699	0	0	0	0	0	0	0	0.439	0	0	0	0	0	0	0.007	0.007	0.041	0	0.22	0.091	0.985	0	0	0.015	0.289	0.056	0.056	0	0	0	0	0.061	0.061	0	0	0.092
SMM-076_pair	0	0	0.006	0	0.977	0.047	0.017	0.017	1	1	0.458	0	1	1	0	0	1	1	0.011	0.011	0.981	0.981	0	0	0.042	0.018	1	0	0	0	0	0.031	0.031	0.947	0.947	0	0.009	1	1	0	0.018	0.018	0.018	0.018	0	0.004	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0.027	0.027	0	0	0	1	0.027	0.038	0.038	0	0	0	0	0.02	0	0	0	0.043
SMM-077_pair	0	0.972	0	0	0.004	0.004	0.006	0.006	0.994	0.994	0	0	0.997	0.997	0.003	0.003	0.984	0.984	0.005	0.005	0	0	0	0	0	0.003	0.001	0	0.082	0	0	0.035	0.035	0.934	0.934	0	0	0	0.022	0	0.019	0.019	0.019	0	0.007	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.02	0.022	0.022	0.998	0	0	0.05	0	0.03	0.03	0	0	0	0	0.026	0.026	0.003	0	0.045
SMM-079_pair	0.045	0.033	0.017	0.01	0.961	0.961	0	0	0	0	0.06	0.06	0	0	0	0	0.881	0.881	0.001	0.157	1	1	0.036	0.036	0	0	0	0	0	0.06	0.06	0.134	0.134	1	1	0	0	0.118	0.118	0	0	0	0	0	0	0	0	0	0.042	0.042	0.014	0.014	0	0	0.04	0.04	0.016	0.016	0	0	0	0	0	0	0	0	0.207	0.197	0.005	0.036	0.036	0	0	0	0	0	0	0.001	0.001	0	0	0.04
SMM-080_pair	0.025	1	0.016	0	0.009	1	0.031	0.031	0	0	1	0	0	0	0	0.011	0	0	0	0	0	0	0.012	0.012	0	0	0.015	0	0	0.025	0.025	0.022	0.022	0.016	0.005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.001	0.001	0	0.857	0.001	0.001	1	0	0.023	0.058	0.013	0.013	0.023	0.023	0	0	0.976	0.996	0	0.025	0.025	0	0	0	0	0	0	0.029	0.029	0	0	0.003
SMM-081_pair	0	0	0.013	0	1	1	0	0	0.717	0.507	0.344	0	0	0	0	0.012	0.929	0.929	0.006	0.001	1	1	0	0	0.03	0	1	0	0	0.002	0.002	0.002	0.002	1	1	0	0	0.03	0.03	0	0.003	0.775	0.355	0	0	0.9	0	0	0.012	1	0	0	0	0.772	0.018	0.018	0.752	0	0	0	0	0	0	0	0.857	0.008	0	0.041	0	0.04	0.04	0	0	0	0	0	0	0.011	0.011	0	0	0.015
SMM-082_pair	0	0	0	0	0	0	0.015	0.015	0	0	0	0	0	0	0.004	0.004	0	0	0	0	0	0	1	1	0.072	0.042	0	0	0	0	0	0.071	0.071	0	0	0	0	0.041	0.041	0	0.064	0.064	0.064	0.064	0.026	0.026	0.026	0.026	0	0	0.012	0.012	0.083	0.054	0.021	0.021	0	0	0.064	0.064	0	0	0.065	0.065	0	0	0	0	0.036	0.098	0.098	0.125	0.125	0	0	0.134	0.134	0.072	0.072	0	0	0.17
SMM-083_pair	0	0	0	0.002	0.992	0.992	0.982	0.982	0.975	0.975	0.016	0.016	0.993	0.993	0	0	1	1	0	0	0.986	0.986	0	0	0.02	0.005	1	0	0	0.032	0.032	0	0	0.98	0.98	0.003	0.003	1	1	0.01	0.004	0.01	0.01	0.01	0.002	0	0	0	0	0	0	0	0	0	0	0	0.015	0.015	0	0	0.011	0.011	0	0	0.031	0.031	0	0	0	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0
SMM-084_pair	0	0.068	0.007	0.031	0	0	0	0	0.948	0.948	0.106	0.037	0.968	0.968	0	0	0.98	0.98	0	0	0	0	0.012	0	0	0	1	0.045	0	0.049	0.082	0	0	1	1	0.006	0.006	0.013	0.013	0.086	0.14	0.14	0.165	0	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0.042	0.042	0	0	0.041	0.041	0.004	0.004	0	0.174	1	0.02	0	0.769	1	0	0	0.063	0.063	0	0	0	0	0	0	0
SMM-085_pair	0.01	0.01	0.014	0.014	0.002	0.002	0.027	0.027	1	1	0.004	0	0	0.001	0	0	0.974	0.974	0.014	0.001	0.972	0.972	0	0	0.035	0	1	0	0	0	0	0.05	0.05	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279	0.006	0	0	0	0	0	0	0	0	0	0.037	0.037	0	0.051	0	0.079	0.079	0.039	0.039	0	0	0	0	0.032	0.032	0.018	0.018	0.071
SMM-086_pair	0	0	0.002	0.002	1	1	1	1	0	0	0	0.006	0.003	0.003	0.006	0.006	0.02	0.976	0.02	0.02	0	0	0	0	0.037	0	0.993	0	0	0	0	0.04	0.04	0.93	0.93	0	0	1	1	0	0.01	0.01	0.01	0.01	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0.023	0.024	0.027	0	0.995	0	0.046	0.002	0.015	0.019	0	0	0	0	0.996	0.022	0	0	0.033
SMM-087_pair	0	1	1	1	1	1	0.031	0.031	1	0.978	0.992	0.875	0.024	1	0	0	1	1	0.031	0.031	1	1	0	0	0.054	0	1	0	0	0	0	0.058	0.058	1	1	0	0	0.02	0.02	0	0.003	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0.015	0	0	0	0	0	0	0.023	0.024	0	0.978	0	0.03	0.03	0.008	0.008	0	0	0	0	0	0	0	0	0.011
SMM-088_pair	0	0	0.009	0.009	0.006	0.006	0.023	0.023	1	1	0.305	0.286	1	1	0	0	0.968	0.968	0.03	0.03	0	0	0	0	0	0.018	1	0	0	0	0	0.027	0.027	0.927	0.912	0	0	0.012	0.012	0	0.006	0.006	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0.017	0	0	0	0	0.008	0.008	0.031	0.031	0.987	0	0	0.021	0.021	0.015	0.015	0	0	0	0	0.012	0.012	0	0	0.031
SMM-089_pair	0.011	0.011	0	0	0.008	0.987	0	0	0	0	0.005	0	1	1	0	0	1	1	0	0	0.003	0.003	0	0	0	0.011	0.987	0.067	0	0.063	0.063	0	0	1	0.576	0.009	0.009	0	0.089	0	0	0	0	0	0.022	0.022	0	0	0.022	0.022	0.031	0.031	0	0.004	0	0	1	0.003	0	0	0.008	0.008	0	0	0.028	0.028	1	0	0	0	0.951	0	0	0.007	0.007	0	0	0	0	0.003	0	0.991
SMM-090_pair	0	0	0	0	0.004	0.004	0	0	0.883	0.883	0.093	0.093	0	0	0	0	0.397	0.397	0	0	0.246	0.246	0	0	0	0	0.986	0	0	0.093	0.093	0.967	0.967	0.99	0.708	0	0	0	0	0	0.236	0.236	0.236	0.236	0	0	0	0	0.043	0.043	0	0	0	0	0.033	0.033	1	1	0	0	0.095	0.095	0	0	0.59	0.59	0.972	1	0	0.866	0.866	0	0	0	0	0	0	1	1	0.067	0.067	1
SMM-091_pair	0	0	0.011	0.024	0.008	0.008	0.048	0.048	1	1	0.024	0.024	0.014	0.011	0.016	0.016	1	1	0	0	0	0	0	0	0	0.005	0	0	0	0.988	0.988	1	1	0.918	0.918	0	0	0	0	0	0.003	0.003	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0.033	0.068	0.011	1	0	0.019	0.065	0.007	0	0	0	0	0	0	0.042	0.042	0.006	0.006	0.068
SMM-092_pair	0	0	0.021	0	0.795	0.869	0.03	0.03	1	0.05	0.991	0	0.99	0.99	0.015	0.015	0	0	0.028	0	0.966	0.966	0	0	0.034	0.008	1	0	0	0	0.822	0.052	0.052	0	1	0	0	0.31	0.75	0	0.025	0.025	0.025	0	0	0.061	0	0	0	0	0	0	0	0.963	0	0	0	0	0.028	0.028	0	0.002	0	0	0.021	0.021	0	0	0	0.037	1	0.042	0	0	0	0.01	0	0.031	0.031	0	0	0.063
SMM-093_pair	0	0.958	1	1	1	1	1	1	1	1	0.029	0.009	1	1	0	0.001	1	1	1	1	0.982	0.982	0	0	0	0	1	1	0.001	0.004	0	0.023	0.023	1	0.963	0	0.99	1	1	0.907	0	0.17	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218	0	0	0	0	0	0	0	0.006	0.006	0.188	0.835	0	0	0	0	0	0	0	0	0	0.294	0	0	0	0
Tumor_Only_001_pair	0.051	0.051	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.041	0.041	0	0	0.128	0.128	0	0	0	0.002	0	0.033	0.033	0.056	0.056	0	0	0.098	0.098	0.048	0.048	0	0	0.104	0	0	0	0	0.012	0.012	0.002	0.002	0.019	0.019	0.03	0.03	0.035	0.017	0.007	0	0.97	0.97	0	0	0.985	0.985	0	0	0	0	1	0	0.004	0	0	0	0	0.023	0.023	0	0	0	0	0.016	0.016	0
Tumor_Only_002_pair	0.128	0.088	0	0	0.002	0.002	0.805	0.805	0.95	0.95	0	0	0.046	0.046	0	0	1	1	0	0	1	1	0	0.007	0	0.069	1	0.248	0.248	0.205	0.205	1	1	1	1	0.144	0.144	0.05	0.05	0	0	0	0	0	0.029	0.029	0	0	0	0	0	0	0.037	0.037	0	0	0.022	0.022	0	0	0.015	0.01	0	0	0.008	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681
Tumor_Only_004_pair	0.005	0.005	0	0	0.001	0.001	0.012	0.012	0.014	0.014	0	0	0.028	0.028	0.002	0.002	0.026	0.228	0	0	0.009	0.009	0	0	0	0	0	0	0	0	0	0.018	0.018	0	0	0.011	0	0	0	0	0	0	0	0	0.014	0.014	0	0	0	0	0	0	0.033	0.026	0	0	0	0	0	0	0.01	0.003	0	0	0.018	0.018	1	0.979	0.007	0.012	0.012	0.012	0.012	0	0	0.001	0.001	0	0.005	0.006	0.006	1
Tumor_Only_005_pair	0	0	0	0	0.057	0.057	0.07	0.07	0	0	0	0	0.454	0.454	0.35	0	0.681	0.681	0	0.575	0.154	0.154	0	0	0.87	0	0	0.099	0.099	0	0	0.655	0.655	0	0	0.257	0.257	0.079	0.079	0	0.154	0.154	0.154	0.154	0	0	0	0	0	0	0.41	0.41	0.078	0.078	0	0	0	0.105	0	0	0.565	0	0	0	0.528	0.528	0	1	0.385	0	0	0.182	0.182	0	0	0.013	0.013	0	0	0	0	0.279
Tumor_Only_006_pair	0.024	1	0.307	0.008	0.019	0.019	0	0	0.008	0.008	0	0	0.001	0.001	0	0	1	1	0	0	0	0	0	0	0.021	0	0.022	0	0.839	0.005	0.003	0.011	0.011	1	1	0	0	0.003	0.003	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0.024	0.013	0	0	0.016	0.016	0	0	0.002	0.002	0.004	0.004	0.005	0.005	0	0.857	0	0.019	0	0	0	0	0	0	0	0.062	0.062	0	0	0.009
Tumor_Only_007_pair	0.013	0.811	0	0	0.991	0.991	0	0.019	0	0	0	0	0.005	0.005	0	0	0.061	0.061	0	0	0.408	0.408	0	0	0	0.013	1	1	0.01	0.005	0.005	0.003	0.003	1	1	0	0	0	0	0.009	0	0	0	0	0.012	0.004	0	0	0.008	0	0.001	0.001	0.002	0.011	0	0	0.012	0.007	0	0	0	0	0	0	0.006	0.006	1	0	0	0.993	0	0	0	0	0	0	0	0.027	1	0.004	0.004	0
Tumor_Only_008_pair	0	0	0.002	0.002	1	1	0.026	0.026	0.055	0.055	0	0.002	0.002	0.002	0	0	1	1	0.005	0	1	1	0	0	0.044	0.022	0.007	0	0	0.984	0.984	1	1	0.913	0.913	0	0	0	0	0	0.014	0.014	0.014	0.014	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0.569	0	0	0.006	0.006	0	0	0	0.056	1	0	0	0	0	0	0	0.033	0.033	0.023	0.023	0.048
Tumor_Only_009_pair	0.053	0.053	0	0	0.005	0.005	0	0	0.019	1	0	0	0	0	0	0	0.027	0.027	0	0	0.027	0.021	0	0	0	0.011	0.015	0	0	0.029	0.029	0.003	0.003	0	0	0	0	0	0	0.057	0	0	0	0	0.016	0.016	0	0	0.028	0.028	0	0	0.058	1	0.021	0.021	0.001	0.001	0	0	0.019	0.019	0	0	0	0	0.986	0	0	0.276	0.865	0	0	0	0	0.016	0.016	0.985	0.535	0.003	0.003	0
Tumor_Only_010_pair	0.023	1	0	0	0.987	0.987	0.002	0.002	0	0	0.031	0.018	0	0	0	0	0.026	0.026	0	0	0.017	0.017	0	0	0	0	1	0	0	0.02	0.02	0.995	0.995	0	0	0.013	0.013	1	1	0.006	0	0	0	0	0.004	0.002	0	0	0	0	0	0	0	0	0.035	0.035	0.079	0.008	0	0	0.015	0.015	0	0	0.028	0.028	1	0.056	0	0.054	0.054	0	0	0	0	0.054	0.059	0	0	0	0	0
Tumor_Only_011_pair	0	0	0.007	0.007	1	1	0.024	0.024	1	1	0	0	1	1	0	0	0.995	0.995	0.003	0.003	0.985	0.985	0	0	0.03	0.011	1	0	0	0	0	0.015	0.015	0.95	0.95	0	0	0	0	0	0.006	0.006	0.006	0.006	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.028	0.018	0.018	0	0	0	0	0.017	0.017	0.008	0.008	0.024
Tumor_Only_012_pair	0	0	0	0	0.976	0.976	0	0	0.946	0.946	0	0	0.824	0.874	0	0.014	1	1	0	1	1	1	0	0	0	0	1	0.143	0.143	0.12	0.12	0.029	0.029	1	1	0.079	0.079	1	1	0.155	0	0.848	0.848	0.001	0.02	0.02	0	0	0.067	0.067	0	0	0.015	0.952	0	0	1	0	0	0	0.001	0	0	0	0	0	0.002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_013_pair	0	0	0.143	0.154	1	1	0.016	0.016	1	1	0	0.012	1	1	0.009	0.009	1	1	0.01	0.01	0.986	0.986	0	0.002	0.025	0.004	1	0	0	0	0	0	0	0.946	0.946	0	0	0	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.016	0.016	0.842	0.842	0	0	0.011	0.011	0.004	0.004	0.028
Tumor_Only_014_pair	0	0	0.001	0.005	0	0	0.002	0.002	0.001	0.001	0.001	0	0.986	0.986	0	0	0.995	0.995	0.002	0.002	0.99	0.99	0	0	0	0.001	1	0	0	0	0	0.025	0.025	0.956	0.956	0	0	0	0	0	0	0	0	0	0	0	0.003	0.003	0	0	0	0	0	0.639	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0.888	0	0	0.033	1	1	0.018	0	0	0	0	0.006	0.006	0.015	0.015	1
Tumor_Only_015_pair	0	0	0.007	0.007	0.977	1	0.024	0.024	0	0	0.004	0.01	0.989	0.989	0.004	0.004	0.964	0.964	0	0	0	0	0.006	0	0	0.007	1	0	0	0	0	0.018	0.018	0.9	0.9	0	0	0.967	0.967	0	0.015	0.015	0.015	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0.02	0	0.003	0.982	0	0	0.048	0.048	0.028	0.028	0	0	0	0	0.034	0.034	0	0	0.033
Tumor_Only_016_pair	0	0.06	0.021	0	1	1	0.022	0.022	1	1	1	0.972	1	1	0	0	1	1	0.003	0.003	0.163	0.021	0.883	0.524	0	0	1	0	0	0.732	0.96	0.019	0.019	0.944	0.944	0	0	1	1	0	0.026	0.026	0.026	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.279	0.028	0	0.073	0.691	0	0	0	0	0	0	0.019	0.019	0	0	0.04
Tumor_Only_017_pair	0	0	0.004	0.004	1	1	0.021	0.021	0.012	0.012	0.003	0.003	1	1	0.003	0.003	0.991	0.991	0.004	0.004	0.972	0.972	0	0	0	0	0	0	0	0	0	0.033	0.033	0.89	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.988	0	0	0.047	0.047	0.036	0.036	0	0	0	0	0.031	0.031	0.007	0.007	0.038
Tumor_Only_018_pair	0	0	0	0	0.001	0.001	0	0	0	0	0	0	0.011	0.011	1	0	0.984	0.984	0	0.397	0.998	0.998	0	0.002	0	0.051	0.007	0.007	0	0.021	0.021	0.501	0.501	0.033	0.035	0	0	0.005	0.005	0	0.009	0.009	0.009	0.009	0	0	0	0	0.012	0.012	0.006	0.006	0.048	1	0	0	0	0.174	0	0	1	0	0	0	1	0	0.188	0	0	0.979	0	0	0	0	0	0	0	0.004	0.004	0	0	0.984
Tumor_Only_019_pair	0.022	1	0.992	0	1	1	0	0	0.95	0.955	0	0.975	1	1	0	0.032	1	1	0	0.001	0.013	0.013	0	0	0	0	1	0.026	0	0.029	0.029	0	0	1	0.217	0.024	0.024	0.003	0.003	0.072	0	0	0	0	0	0.014	0	0	0.035	0.035	0	0	0.005	0	0	0	0.004	0	0	0	0.006	0	0	0	0.008	0.008	0.039	0.001	0	0	0.006	0	0	0.008	0.008	0	0	0	0	0	0	0
Tumor_Only_020_pair	0	1	0	0	0.091	0.091	0.032	0.032	0	0	0.087	0.059	0.092	0.111	0.039	0.039	0	0	0	0	0.122	0.122	0	0	0	0	0.118	0.038	0.038	0	0	0	0	0.283	0.283	0	0	0	0	0	0.027	0.027	0.027	0	0.098	0.098	0	0	0	0	0.122	0.122	0	0	0	0	0	0	0.048	0.048	0.13	0.114	0	0	0.093	0.093	1	0.072	0	0	0	0	0	0.131	0.131	0	0	0.013	0.013	0.071	0.071	0.532
Tumor_Only_021_pair	0.016	0.016	0.003	0.003	0.99	0.99	0.011	0.011	0.991	0.991	0	0	0.989	0.989	0	0	1	1	0	0	1	1	0	0	0.004	0.021	1	0	0	0.008	0.008	0	0	0.927	0.963	0	0	0.984	0.984	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0.053	0.053	0	0	0	0	0	0	0	0	0	0	0	0.033	0.033	0	0	0.003	0.003	0	0	0.013	0.013	0	0	0
Tumor_Only_022_pair	0	1	0.304	0.013	0.812	0.739	0.042	0.042	0.757	0.757	1	0.066	0.751	0.74	0	0.296	0.013	0.021	0	0.74	0	0	0	0	0	0	0.747	0.687	0.347	0	0	0.018	0.018	0.709	0.709	0	0	0	0	0	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339	0	0	0	0.363	0	0.025	0.013	0.003	0.024	1	0.916	0	0	0	0.009	0.009	0	0	0	0	0.353	0.016	0	0	0.032
Tumor_Only_023_pair	0.015	0.852	0.001	0	0.997	0.997	0.99	0.99	0	0	0	0	0	0	0	0	1	1	0	0	0.01	0	0	0	0	0	0.016	0.009	0	0.016	0.445	0	0	1	0	0.005	0.005	0.01	0.01	0.022	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0.009	0.432	0.006	0.003	0.013	0.013	0	0	0	0	0	1	0	0	0.013	0.602	0	0	0.186	0	0	0.002	0.002	0	0	0	0	0	0	0
Tumor_Only_025_pair	0	0	0	0.008	0	0	0.008	0.008	0.002	0.002	0	0	0.002	0.003	0	0	0.005	0.005	0.002	0.002	0.001	0	0	0	0	0.014	0.003	0	0	0	0	0.015	0.015	0	0	0.001	0.001	0	0	0.004	0	0	0	0	0.003	0	0	0	0	0	0	0	0.005	0	0	0	0.007	0.007	0	0	0	0	0	0.005	0.004	0.002	0.996	0	0	0.011	0.011	0.003	0.003	0	0	0.014	0.014	0	0	0.002	0.002	0
